name,lat,long
1608 4th Street,37.873215,-122.302267
1925 Walnut St,37.873014,-122.266787
2108 Allston Way,37.869401,-122.267342
2224 Piedmont Ave.,37.870983,-122.253048
2232 Piedmont Ave.,37.870805,-122.253027
2240 Piedmont Ave.,37.870297,-122.252813
2334 Bowditch,37.867743,-122.256863
2427 Dwight Way,37.865160,-122.259503
2440 Bancroft Way,37.868283,-122.260674
2451 Ridge Road,37.876213,-122.261071
2481 Hearst Ave.,37.875161,-122.260488
2483 Hearst Ave.,37.875127,-122.260593
2515 Channing Way,37.867215,-122.258140
2521 Channing Way,37.867318,-122.257882
2535 Channing Way,37.867449,-122.257287
2850 Telegraph Ave.,37.85832949010434,-122.25982567428731
Academic Innovation Studio,37.870579999999997,-122.26040999999999
Alumni House,37.86968,-122.26119
Anna Head Alumnae Hall,37.86637,-122.25744
Anthony Hall,37.870690000000003,-122.25819
Anthropology and Art Practice building,37.869880000000002,-122.2552
Anthropology Library,37.869880000000002,-122.2552
Archaeological Research Facility,37.870221,-122.253821
Architects & Engineers (A&E),37.870162,-122.258756
Art History/Classics Library,37.872439999999997,-122.25955999999999
Bancroft Dance Studio (2401 Bancroft Way),37.868662,-122.261202
Bancroft Library,37.8723,-122.2587
Bancroft Library/University Archives,37.8723,-122.2587
Bancroft Parking Structure,37.869607,-122.255820
Banway Building (2111 Bancroft Way),37.86788,-122.26687
Barker Hall,37.873950000000001,-122.26549
Bauer Wurster Hall,37.8705,-122.25488
Bechtel Engineering Center,37.87425,-122.25807
Berkeley Art Museum and Pacific Film Archive,37.870942,-122.266221
Berkeley Law Library,37.86992,-122.25341
Berkeley Way West,37.873592,-122.267912
"Bioscience, Natural Resources & Public Health Library",37.871479999999998,-122.26211000000001
Birge Hall,37.872190000000003,-122.25724
Blackwell Hall,37.868172,-122.261142
Blum Hall,37.87480,-122.25914
Botanical Garden,37.87405,-122.23741
Bowles Hall,37.873357,-122.253168
Business Library,37.871690000000001,-122.25384
Cal 1 Card Office,37.869599999999998,-122.25878
California Hall,37.87189,-122.26038
California Memorial Stadium,37.87132,-122.25060
Calvin Laboratory,37.870989999999999,-122.25393
Campanile (Sather Tower),37.872332,-122.257964
Campbell Hall,37.872979999999998,-122.25705000000001
Career Counseling Library,37.867879,-122.26455
Cesar E. Chavez Student Center,37.86980,-122.26015
Chancellor's Esplanade,37.874066,-122.262519
Cheit Hall,37.871690000000001,-122.25384
Chemistry and Chemical Engineering Library,37.872895,-122.255532
Chou Hall,37.872381,-122.254107
