,id,abbreviation,courseNumber,description,title,gradeAverage,letterAverage,openSeats,enrolledPercentage,enrolled,enrolledMax,units,__typename
0,Q291cnNlVHlwZTozMjgw,GERMAN,2,"This German language course continues the development of basic communicative competencies (spoken and written) while sensitizing students to the links between language and culture. Students will be able to understand and use high frequency vocabulary and basic grammatical structures and engage with a broad variety of texts from various genres, including poetry, news reports, songs, and the visual arts. 



",Elementary German 2,3.543869731800767,A-,0,1.0,18,18,5.0,CourseType
1,Q291cnNlVHlwZToyMTcwMg==,GEOG,C154,"An in-depth study of taxonomy, with a special focus on plants. We will first learn how plants are classified and how they fit into the tree of life, and what practical challenges exist for current practitioners of botany. Next, we will study the history of the ideas underlying classification and their connections to colonial, extractivist empire-building activities since Linnaeus. Finally, we will work to create a new taxonomy that acknowledges and imagines other relationships with plants.",Post-Apocalyptic Botany,3.5416666666666665,A-,0,1.0,30,30,4.0,CourseType
2,Q291cnNlVHlwZToyODMz,ESPM,72,"Introduction to computer systems, data processing software for natural resources studies. Components of geographic information systems; concepts of surveying, mapping, and remote sensing as data sources; various methods of data processing and analysis including classification, map overlay, buffer analysis, topographic modeling, spatial interpolation, and map design with a GIS. Intensive hands-on practices with relevant computer software packages. ",Introduction to Geographic Information Systems,3.458909853249476,B+,2,0.96,48,50,3.0,CourseType
3,Q291cnNlVHlwZTozOTgz,INTEGBI,169,"This course explores the ways that evolutionary theory, natural selection, drift, genetics, and epigenetics can illuminate our understanding of human health and disease. The course begins with an overview of primate and hominid evolution and human genetic variation. We then evaluate reproductive biology and maternal/child health through an evolutionary lens. We explore how human ecosystem interactions influence diet, metabolic adaptations, hematological adaptions, human microbiome, and human pathogens. We examine evolutionary concepts related to aging, senescence and development of cancer. Finally we study psychology, behavior, and social/cultural organization through an evolutionary perspective.",Evolutionary Medicine,3.400081933633756,B+,2,0.9885714285714285,173,175,4.0,CourseType
4,Q291cnNlVHlwZToxNTky,COLWRIT,R4A,"This writing seminar satisfies the first half of the Reading and Composition requirement. The course is designed to offer students structured, sustained, and highly articulated practice in the recursive processes entailed in reading, critical analysis, and composing. Students will read five thematically related book-length texts, or the equivalent, drawn from a range of genres, in addition to various non-print sources. In response to these materials, they will craft several short pieces leading up to three longer essays--works of exposition and argumentation. ",Reading and Composition,3.5636666666666668,A-,15,0.8897058823529411,121,136,4.0,CourseType
5,Q291cnNlVHlwZToyMDg1Mw==,DATA,94,Topics will vary semester to semester.,Special Topics in Data Science,3.98,A,12,0.85,68,80,1-4,CourseType
6,Q291cnNlVHlwZToyMTgxMg==,VIS SCI,375B,"Instruction in teaching methods and materials in vision science and optometry; practice and reflect on teaching in the classroom and laboratory. Lectures, discussion and outside work related to teaching methods and assessment of student learning, including lecture-based, problem-based, active, and inquiry-based learning. Instruction on student engagement and effective communication.","Teaching Methods in Vision Science, II",-1.0,,6,0.7,14,20,1.0,CourseType
7,Q291cnNlVHlwZTo2NTI5,KHMER,1B,"Students complete their study of everyday standard Khmer to a ""survival"" level. While the memorization of vocabulary and common personal exchanges practiced in 1A will make up the majority of material studied, students will have some opportunity to learn to improvise and talk about personal work and research interests in Khmer. Topics include transportation and directions, the world of work, religion, health, and conducting daily life in Cambodia. Students learn to read simple authentic texts such as folk tales, personal letters, forms, and roadside signs. Students continue their study of culturally appropriate behavior in the context of Khmer culture, including notions of ""saving face"" and maintaining social harmony.",Introductory Khmer,3.7222222222222223,A-,10,0.3333333333333333,5,15,5.0,CourseType
8,Q291cnNlVHlwZTo2NjIw,TELUGU,1B,"The focus of this course will be on systematic grammar, essential vocabulary, and conversations. The goal is to achieve basic reading, writing, and conversational competence as well as exposure to Telugu culture and traditions through language learning. Students will be able to read short stories by the end of this course with some facility. ",Elementary Telugu,-1.0,,13,0.23529411764705882,4,17,4.0,CourseType
9,Q291cnNlVHlwZToyOTk3,ETH STD,39,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. ,Freshman/Sophomore Seminar,3.7333333333333334,A-,3,0.8,12,15,1-2,CourseType
10,Q291cnNlVHlwZTozMzgx,GSPDP,301,"This seminar will introduce graduate students to the role of mentoring in U.S. higher education and help guide graduate students as they mentor undergraduates at Berkeley, work in the context of a mentoring relationship with their graduate advisers, and prepare for the mentoring they will do in future academic and non-academic careers. The course will consist of readings, face-to-face and online discussion, short assignments, and an applied component of mentoring. ",Mentoring in Higher Education,-1.0,,31,0.225,9,40,1.0,CourseType
11,Q291cnNlVHlwZToxMDE1MQ==,GERMAN,39Q,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.  ,Freshmen and Sophomore Seminar,-1.0,,0,1.0,25,25,3.0,CourseType
12,Q291cnNlVHlwZTo4Mzk4,HUNGARI,1B,Practical instruction in the Hungarian language. The course can be taken for either 3 or 4 units; the additional unit involves language work and additional written reading assignments. ,Introductory Hungarian,3.9,A,11,0.26666666666666666,4,15,3-4,CourseType
13,Q291cnNlVHlwZToyMjA=,ANTHRO,R5B,"Reading and composition courses based on the anthropological literature. These courses provide an introduction to issues distinctive of anthropological texts and introduce students to distinctive forms of anthropological writing, such as ethnography and anthropological prehistory. Readings will be chosen from a variety of texts by authors whose works span the discipline, from bioanthropology to archaeology and sociocultural anthropology. Satisfies the second half of the Reading and Composition requirement. ",Reading and Composition in Anthropology,3.7052492280546985,A-,0,1.0,119,119,4.0,CourseType
14,Q291cnNlVHlwZToxODA5,CHINESE,7B,"The second of a two-semester sequence introducing students to Chinese literature in translation. In addition to literary sources, a wide range of philosophical and historical texts will be covered, as well as aspects of visual and material culture. 7B focuses on late imperial, modern, and contemporary China. The course will focus on the development of sound writing skills.  ",Introduction to Modern Chinese Literature and Culture,3.2633898305084745,B+,28,0.44,22,50,4.0,CourseType
15,Q291cnNlVHlwZToxNDU=,AFRICAM,C143C,Study and production of a play by an African American writer. The play will be studied within its social and historical context. Students will be introduced to the various aspects of theatre production. ,Black Theatre Workshop,-1.0,,1,0.95,19,20,3.0,CourseType
16,Q291cnNlVHlwZTo4Mjk3,HISTART,27,"Rather than follow a master chronology that would attempt to contain Africa’s multiple cultural formations in a single narrative, this course will introduce students to African art through an investigation of a range of aesthetic traditions and movements across sub-Saharan Africa that are meaningfully reinvigorated in contemporary artistic production and popular visual culture. Our continual return to the cultural politics of the present will provide an anchor and roadmap for our inquiry; we will see contemporary visual culture as staging interventions that push at Western ideas of “primitive African tradition,” while bringing to the fore conventions that, when tracked, reveal alternative traditions legible within an art historical context.",Visual Cultures of Africa,3.4750000000000005,B+,0,1.0,61,61,4.0,CourseType
17,Q291cnNlVHlwZTo0Nzk1,MEC ENG,108,"This course covers elastic and plastic deformation under static and dynamic loads. Failure by yielding, fracture, fatigue, wear, and environmental factors are also examined. Topics include engineering materials, heat treatment, structure-property relationships, elastic deformation and multiaxial loading, plastic deformation and yield criteria, dislocation plasticity and strengthening mechanisms, creep, stress concentration effects, fracture, fatigue, and contact deformation. ",Mechanical Behavior of Engineering Materials,3.077014481990345,B,56,0.5333333333333333,64,120,4.0,CourseType
18,Q291cnNlVHlwZTo0ODI=,ART,102,"This studio course for Art Practice majors involves practical and experimental research into the varied processes, skills, materials, and methods of historical and contemporary painting. Emphasis on creating unconventional drawing/painting tools, making pigments for painting, and examining unofficial and official archives as source materials will be an integral part of the course. Students will expand their technical, conceptual, and professional skills, and will develop self-generated projects and critical engagement through critiques and open discussion. Students will attend library tours and field trips, and explore mediums and concepts to generate research for long-term investigation.

Prerequisites: ART 8 and ART 13 or equivalents",Advanced Painting: Research and Methods,3.799440820130475,A-,1,0.9444444444444444,17,18,4.0,CourseType
19,Q291cnNlVHlwZTo1MDk5,MUSIC,150A,"This course will help students develop musical skills through sightsinging, score reading, and piano harmony, acquiring confidence with music that has chromaticism, modulations, and meter changes.",Sightsinging and Score Reading I,3.989970501474926,A,12,0.5,12,24,3.0,CourseType
20,Q291cnNlVHlwZToxMjUxMw==,EL ENG,39,"Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25. ",Freshman/Sophomore Seminar,4.0,A,0,1.0,20,20,2-4,CourseType
21,Q291cnNlVHlwZToyMTgwMw==,BUDDSTD,C158,"This is an introduction to Buddhist philosophy, extending from its origins (as preserved in the early sūtra literature), down through its evolution into multiple competing philosophical traditions (Abhidharma, Madhyamaka, Yogācāra, Pramāṇavāda, and so on). We will explore Buddhist approaches to issues in epistemology, metaphysics, philosophy of mind, language, and ethics. One theme running through the course will be radical skepticism; we will explore how Buddhist philosophers questioned not only the existence of an enduring or essential self but also the existence of an external (mind-independent) world, and how their analyses impacted their understandings of meaning in language, their accounts of the nature and function of consciousness.",Introduction to Buddhist Philosophy,3.713793103448276,A-,0,1.0,11,10,4.0,CourseType
22,Q291cnNlVHlwZToxODky,JAPAN,1A,"Japanese 1A is designed to develop basic Japanese language skills: listening, speaking, reading and writing. Students will learn the Japanese writing system: hiragana, katakana and approximately 150 kanji.  At the end of the course, students should be able to greet, invite, compare, and describe persons and things, activities, intensions, ability, experience, purposes, reasons, and wishes. Grades will be determined on the basis of attendance, quiz scores, homework and class participation.  ",Elementary Japanese,3.5235865724381625,A-,0,1.0,88,88,5.0,CourseType
23,Q291cnNlVHlwZToyMDcw,ECON,206,"This course will study the optimal design of mechanisms in the presence of incomplete information and imperfect observability. The course will begin with the ""classic"" principal-agent problem and will then develop its applications to the ""implicit contracts"" theory of agency and to the choice of government policies for regulated industries. The second half of the course will treat the design of auctions, regulation with costly or imperfect monitoring, mechanism design with limited contracts. ",Mechanism Design and Agency Theory,3.7190476190476196,A-,8,0.4666666666666667,7,15,3.0,CourseType
24,Q291cnNlVHlwZTo3MTA=,BIOLOGY,1A,"General introduction to cell structure and function, molecular and organismal genetics, animal development, form and function. Intended for biological sciences majors, but open to all qualified students. ",General Biology Lecture,2.845251432618634,B-,34,0.9595238095238096,806,840,3.0,CourseType
25,Q291cnNlVHlwZToyMDg2OA==,MEDIAST,111C,"This course covers the modern global history of audiovisual media forms, with a focus on interactions between new media technologies and emerging modern power structures.  We will examine how and why historical agents responded to, made use of, and tried to regulate emerging representational technologies such as painting, printed images and etchings, maps, the theater, panoramas, photography, the telephone, phonography, radio, television, MP3s, JPGs, and digital video.  Lectures will consider the impact of specific media technologies on the historical representation and mobilization of religion, race, class, and nationality, as well as the branding and advertisement of consumer commodities.",Audio-Visual Media History,3.1229323308270676,B,0,1.0,95,90,4.0,CourseType
